Time,o[t],d[t],v[t],M_fl[t],x_0,y_0,x_1,y_1,x_2,y_2,x_3,y_3,x_4,y_4
0,0.999851,0.877254,0.617798,0.541885,-1.388055,1.849998,-1.389894,1.550378,-1.388393,1.700003,-1.394241,1.400000,-1.395966,1.999998
320,0.962965,0.877476,0.251230,0.212283,-1.360970,1.850075,-1.362762,1.551582,-1.361753,1.700071,-1.399151,1.399879,-1.399581,2.000234
640,0.769869,0.877149,0.254477,0.171845,-1.333913,1.850267,-1.335649,1.552899,-1.334680,1.700179,-1.397071,1.397745,-1.397316,2.002173
960,0.500918,0.876480,0.255126,0.112012,-1.306805,1.850490,-1.308704,1.554288,-1.307519,1.700321,-1.397155,1.394594,-1.396671,2.005063
1280,0.321887,0.874602,0.254435,0.071629,-1.279752,1.850679,-1.281591,1.555709,-1.280447,1.700629,-1.400997,1.389830,-1.398553,2.008954
1600,0.262000,0.867067,0.247809,0.056295,-1.252649,1.851048,-1.254515,1.557284,-1.253305,1.701247,-1.405459,1.387156,-1.402168,2.012303
1920,0.255774,0.859384,0.248792,0.054686,-1.225523,1.851702,-1.227513,1.558874,-1.226179,1.702174,-1.409010,1.386031,-1.405271,2.014442
2240,0.381356,0.851178,0.258162,0.083800,-1.198439,1.852529,-1.200511,1.560610,-1.199155,1.703343,-1.412047,1.384477,-1.407536,2.016698
2560,0.595757,0.842570,0.268634,0.134845,-1.171313,1.853467,-1.173387,1.562488,-1.172037,1.704652,-1.413327,1.381735,-1.408082,2.019660
2880,0.776340,0.834133,0.275308,0.178282,-1.144235,1.854584,-1.146355,1.564433,-1.144975,1.706114,-1.412994,1.378749,-1.407091,2.022617
3200,0.912640,0.826119,0.281417,0.212175,-1.117072,1.855799,-1.119401,1.566334,-1.117885,1.707645,-1.411065,1.375982,-1.403364,2.026026
3520,0.967560,0.818751,0.288488,0.228537,-1.090010,1.857172,-1.092293,1.568341,-1.090814,1.709161,-1.407062,1.373258,-1.397924,2.028629
3840,0.995334,0.812536,0.303655,0.245579,-1.062979,1.858698,-1.065217,1.570445,-1.063778,1.710662,-1.400348,1.371148,-1.389008,2.030357
4160,0.997840,0.807963,0.333853,0.269158,-1.035827,1.860345,-1.038210,1.572754,-1.036779,1.712378,-1.388604,1.371509,-1.378877,2.030597
4480,0.986395,0.804882,0.327201,0.259775,-1.008719,1.862114,-1.014995,1.575270,-1.009727,1.714255,-1.375728,1.375154,-1.367497,2.029800
4800,0.944105,0.804926,0.252021,0.191519,-0.981607,1.863878,-1.019019,1.574552,-0.982699,1.716250,-1.365047,1.379735,-1.354599,2.026733
5120,0.839013,0.804682,0.251648,0.169897,-0.954605,1.865671,-1.017510,1.577097,-0.956060,1.718473,-1.355382,1.384515,-1.341726,2.022425
